year,month,day
1970,6,8
1971,5,28
1972,6,15
1973,6,5
1974,6,24
1975,6,14
1976,6,2
1977,6,21
1978,6,10
1979,5,30
1980,6,17
1981,6,6
1982,6,25
1983,6,15
1984,6,4
1985,6,22
1986,6,11
1987,5,31
1988,6,18
1989,6,8
1990,5,28
1991,6,16
1992,6,5
1993,6,24
1994,6,13
1995,6,2
1996,6,20
1997,6,9
1998,5,30
1999,6,18
2000,6,6
2001,6,25
2002,6,15
2003,6,4
2004,6,22
2005,6,11
2006,5,31
2007,6,19
2008,6,8
2009,5,28
2010,6,16
2011,6,6
2012,6,23
2013,6,12
2014,6,2
2015,6,20
2016,6,9
2017,5,30
2018,6,18
2019,6,7
2020,6,25
2021,6,14
2022,6,3
2023,6,22
2024,6,10
2025,5,31
2026,6,19
2027,6,9
2028,5,28
2029,6,16
2030,6,5
2031,6,24
2032,6,12
2033,6,1
2034,6,20
2035,6,10
2036,5,30
2037,6,18
2038,6,7
2039,5,27
2040,6,14
2041,6,3
2042,6,22
2043,6,11
2044,5,31
2045,6,19
2046,6,8
2047,5,29
2048,6,15
2049,6,4
2050,6,23
2051,6,13
2052,6,1
2053,6,20
2054,6,10
2055,5,30
2056,6,17
2057,6,6
2058,6,25
2059,6,14
2060,6,3
2061,6,22
2062,6,11
2063,6,1
2064,6,19
2065,6,8
2066,5,28
2067,6,16
2068,6,4
2069,6,23
2070,6,13
2071,6,2
2072,6,20
2073,6,10
2074,5,30
2075,6,17
2076,6,6
2077,6,24
2078,6,14
2079,6,4
2080,6,22
2081,6,11
2082,6,1
2083,6,19
2084,6,7
2085,5,27
2086,6,15
2087,6,5
2088,6,23
2089,6,13
2090,6,2
2091,6,21
2092,6,9
2093,5,29
2094,6,17
2095,6,6
2096,6,24
2097,6,14
2098,6,4
2099,6,23
2100,6,12
2101,6,1
2102,6,20
2103,6,9
2104,5,28
2105,6,16
2106,6,6
2107,6,25
2108,6,13
2109,6,3
2110,6,21
2111,6,10
2112,5,30
2113,6,18
2114,6,7
2115,6,26
2116,6,15
2117,6,4
2118,6,23
2119,6,12
2120,5,31
2121,6,19
2122,6,9
2123,5,29
2124,6,16
2125,6,6
2126,6,25
2127,6,14
2128,6,2
2129,6,21
2130,6,10
2131,5,31
2132,6,18
2133,6,7
2134,5,28
2135,6,16
2136,6,4
2137,6,22
2138,6,12
2139,6,1
2140,6,19
2141,6,9
2142,5,29
2143,6,17
2144,6,6
2145,6,24
2146,6,13
2147,6,2
2148,6,20
2149,6,10
2150,5,31
