year,month,day
1970,9,15
1971,10,3
1972,9,22
1973,9,11
1974,9,30
1975,9,20
1976,9,8
1977,9,27
1978,9,17
1979,10,5
1980,9,23
1981,9,12
1982,10,1
1983,9,21
1984,9,10
1985,9,29
1986,9,18
1987,10,7
1988,9,25
1989,9,14
1990,10,3
1991,9,22
1992,9,11
1993,9,30
1994,9,20
1995,9,9
1996,9,27
1997,9,16
1998,10,5
1999,9,24
2000,9,12
2001,10,1
2002,9,21
2003,9,11
2004,9,28
2005,9,18
2006,10,6
2007,9,25
2008,9,14
2009,10,3
2010,9,22
2011,9,12
2012,9,30
2013,9,19
2014,9,8
2015,9,27
2016,9,15
2017,10,4
2018,9,24
2019,9,13
2020,10,1
2021,9,21
2022,9,10
2023,9,29
2024,9,17
2025,10,6
2026,9,25
2027,9,15
2028,10,3
2029,9,22
2030,9,12
2031,10,1
2032,9,19
2033,9,8
2034,9,27
2035,9,16
2036,10,4
2037,9,24
2038,9,13
2039,10,2
2040,9,20
2041,9,10
2042,9,28
2043,9,17
2044,10,5
2045,9,25
2046,9,15
2047,10,4
2048,9,22
2049,9,11
2050,9,30
2051,9,19
2052,9,7
2053,9,26
2054,9,16
2055,10,5
2056,9,24
2057,9,13
2058,10,2
2059,9,21
2060,9,9
2061,9,28
2062,9,17
2063,10,6
2064,9,25
2065,9,15
2066,10,3
2067,9,23
2068,9,11
2069,9,29
2070,9,19
2071,9,8
2072,9,26
2073,9,16
2074,10,5
2075,9,24
2076,9,12
2077,10,1
2078,9,20
2079,9,10
2080,9,28
2081,9,17
2082,10,6
2083,9,26
2084,9,14
2085,10,3
2086,9,22
2087,9,11
2088,9,29
2089,9,18
2090,9,8
2091,9,27
2092,9,16
2093,10,5
2094,9,24
2095,9,13
2096,9,30
2097,9,20
2098,9,9
2099,9,29
2100,9,18
2101,10,7
2102,9,26
2103,9,15
2104,10,3
2105,9,22
2106,9,12
2107,10,1
2108,9,20
2109,9,9
2110,9,28
2111,9,17
2112,10,5
2113,9,24
2114,9,13
2115,10,2
2116,9,21
2117,9,11
2118,9,30
2119,9,19
2120,10,7
2121,9,26
2122,9,15
2123,10,4
2124,9,22
2125,9,12
2126,10,1
2127,9,20
2128,9,9
2129,9,28
2130,9,17
2131,10,5
2132,9,24
2133,9,13
2134,10,2
2135,9,22
2136,9,10
2137,9,29
2138,9,18
2139,10,7
2140,9,25
2141,9,15
2142,10,3
2143,9,23
2144,9,12
2145,10,1
2146,9,20
2147,9,9
2148,9,27
2149,9,16
2150,10,5
