year,month,class_a,class_b,class_c,class_d
2025,1,14,,,
2025,2,13,,,
2025,3,13,,,
2025,4,14,,,
2025,5,13,,,
2025,6,12,,,
2025,7,14,,,
2025,8,13,,,
2025,9,15,,,
2025,10,14,,,
2025,11,13,,,
2025,12,11,,,
2026,1,14,20,22,27
2026,2,12,17,19,24
2026,3,12,17,19,23
2026,4,13,16,21,23
2026,5,13,18,20,26
2026,6,11,16,22,24
2026,7,13,16,20,23
2026,8,13,18,20,25
2026,9,14,17,21,24
2026,10,13,15,20,22
2026,11,12,17,19,24
2026,12,10,15,17,22
2027,1,14,19,21,25
2027,2,11,16,18,23
2027,3,11,15,18,23
2027,4,13,15,20,22
2027,5,13,17,19,24
2027,6,14,16,21,23
2027,7,14,19,21,22
2027,8,12,17,19,23
2027,9,14,16,21,23
2027,10,14,18,21,25
2027,11,15,17,22,23
2027,12,13,16,20,22
